	dass	dfcp
wechtig	2.0	
här	2.0	
inere	2.0	
Mis	2.0	
Aha	2.0	
laptop	2.0	
dänk	2.0	
verhängt	2.0	
höt	2.0	
metteilt	2.0	
leider	2.0	
niveau	2.0	
tja	2.0	
fuck	2.0	
afang	2.0	
Irgend	2.0	
uns	2.0	
geburtstag	2.0	
to	2.0	
gat	2.0	
deff	2.0	
unterhalte	2.0	
redactedQ11tokens56characters	2.0	
easy	2.0	
redactedQ8tokens53characters	2.0	
2.	2.0	
emojiQfaceSavouringDeliciousFood	2.0	
gschrebe	2.0	
glöck	2.0	
12	2.0	
vöu	2.0	
bzw	2.0	
erklärt	2.0	
Wennt	2.0	
ke	2.0	
bruchsh	2.0	
fühlt	2.0	
redactedQ6tokens35characters	2.0	
Chashem	2.0	
Cool	2.0	
jetz	2.0	
emojiQglowingStar	2.0	
Z	2.0	
emojiQregionalIndicatorSymbolLettersIt	2.0	
zuegä	2.0	
Wussten	2.0	
redactedQ11tokens60characters	2.0	
dankbar	2.0	
kennt	2.0	
hütt	2.0	
muskelkater	2.0	
glücklich	2.0	
redactedQ11tokens53characters	2.0	
lüt	2.0	
ir	2.0	1.0
redactedQ5tokens34characters	2.0	
jep	2.0	
schikar	2.0	
Gell	2.0	
mail	2.0	
Fänschter	2.0	
hetsch	2.0	
emojiQumbrellaWithRainDrops	2.0	
wött	2.0	
H	2.0	
shiSst	2.0	
zämma	2.0	
gredet	2.0	
allefalls	2.0	
redactedQ4tokens23characters	2.0	
wenig	2.0	
sport	2.0	
gmeind	2.0	
mine	2.0	
ch	2.0	
gstande	2.0	
sunne	2.0	
Schad	2.0	
Hä	2.0	
mittag	2.0	
prüefig	2.0	
id	2.0	
hoffsch	2.0	
viewing	2.0	
gits	2.0	
schaut	2.0	
runter	2.0	
Zeit	2.0	
statt	2.0	
zeigt	2.0	1.0
Lg	2.0	
merk	2.0	
beides	2.0	
immerhin	2.0	
don	2.0	
juergen	2.0	
redactedQ7tokens46characters	2.0	
ume	2.0	
sust	2.0	
Meinsch	2.0	
wenni	2.0	
gschrie	2.0	
schauen	2.0	
druff	2.0	
Dann	2.0	
beschte	2.0	
Uii	2.0	
app	2.0	
nervt	2.0	
gwüsse	2.0	
redactedQ5tokens28characters	2.0	
müed	2.0	
woo	2.0	
Jiaa	2.0	
plant	2.0	
hehehe	2.0	
on	2.0	
dörfe	2.0	
redactedQ9tokens43characters	2.0	
weiß	2.0	
neh	2.0	
passiert	2.0	
status	2.0	
stah	2.0	
garte	2.0	
#	2.0	
Wiso	2.0	
fürd	2.0	
;D	2.0	
verbii	2.0	
liebsch	2.0	
besserig	2.0	
oui	2.0	
zwüsche	2.0	
taken	2.0	
happily	2.0	
pic	2.0	
(:	2.0	
bechunt	2.0	
drus	2.0	
anderne	2.0	
ebä	2.0	1.0
rueh	2.0	
Okk	2.0	
mached	2.0	
he	2.0	
geell	2.0	
ohh	2.0	
usser	2.0	
fragsch	2.0	
welles	2.0	
nanig	2.0	
huerre	2.0	
anders	2.0	
Muess	2.0	
isches	2.0	
gid	2.0	
vorem	2.0	
komisches	2.0	
emojiQgrinningFace	2.0	
böhi	2.0	
sonen	2.0	
bedütet	2.0	
emojiQgreenHeart	2.0	
funktioniert	2.0	
frögt	2.0	
wetsh	2.0	
iiversüchtig	2.0	
werded	2.0	
fraue	2.0	1.0
wenigen	2.0	
amigs	2.0	2.0
heiweg	2.0	
we	2.0	
mathe	2.0	
sooo	2.0	
beim	2.0	
bisschen	2.0	
Hahahah	2.0	
zügle	2.0	
redactedQ4tokens30characters	2.0	
halle	2.0	
Chrisle	2.0	
müesse	2.0	2.0
U.a.	2.0	
pünkt	2.0	
chömmer	2.0	
gsehn	2.0	
frege	2.0	
gfahr	2.0	
momentan	2.0	
Wenigstens	2.0	
redactedQ10tokens55characters	2.0	
merksch	2.0	
zäme	2.0	
beleg	2.0	
zersh	2.0	
zmittag	2.0	
pics	2.0	
redactedQ3tokens20characters	2.0	
ohne	2.0	
redactedQ3tokens25characters	2.0	
wodd	2.0	
redactedQ15tokens77characters	2.0	
abgeh	2.0	
verbliebe	2.0	
ganze	2.0	
numme	2.0	
Jio	2.0	
sex	2.0	
nonig	2.0	1.0
ih	2.0	
ufem	2.0	
winkel	2.0	
ishes	2.0	
redactedQ3tokens22characters	2.0	
leiter	2.0	
yvon	2.0	
tued	2.0	
Unterschrift	2.0	
redactedQ3tokens21characters	2.0	
Aah	2.0	
Gelll	2.0	
zakia	2.0	
gstresst	2.0	
fur	2.0	
usefinde	2.0	1.0
chani	2.0	2.0
lüüt	2.0	
emojiQtiredFace	2.0	
gse	2.0	
kann	2.0	
Het	2.0	
meistens	2.0	2.0
lah	2.0	
iöö	2.0	
endlich	2.0	
Hoffe	2.0	
kaputt	2.0	
redactedQ10tokens49characters	2.0	
schiissts	2.0	
Doch	2.0	
ghofft	2.0	
versucht	2.0	
NID	2.0	
abecho	2.0	
weder	2.0	
üsi	2.0	1.0
erzehlt	2.0	
wem	2.0	
beziehig	2.0	
hättisch	2.0	
hahah	2.0	
ding	2.0	
orakel	2.0	
ghöre	2.0	
vorus	2.0	
dein	2.0	
hälfe	2.0	
:O	2.0	
sägä	2.0	
redactedQ9tokens51characters	2.0	
heiss	2.0	
schribed	2.0	
redactedQ12tokens70characters	2.0	
fründin	2.0	
gfahre	2.0	
okii	2.0	
diheimä	2.0	
meiste	2.0	
wenigstens	2.0	
weich	2.0	
Eifach	2.0	
hätt	2.0	
bruuche	2.0	
nime	2.0	
vorhär	2.0	
sylvestre	2.0	
name	2.0	
sry	2.0	
schlau	2.0	
wegem	2.0	
helvetia	2.0	
zemegschisse	2.0	
inne	2.0	
uus	2.0	
wiedermal	2.0	
ihres	2.0	
eppert	2.0	
stell	2.0	
ehmm	2.0	
mängisch	2.0	
einzig	2.0	
bringsches	2.0	
aah	2.0	
vooll	2.0	
agfange	2.0	
gsund	2.0	
sis	2.0	
spiel	2.0	
letscht	2.0	
:p	2.0	
sowieso	2.0	
denkey	2.0	
redactedQ12tokens60characters	2.0	
enttüscht	2.0	
emol	2.0	
ame	2.0	
sinere	2.0	
gangä	2.0	
saisch	2.0	
bisi	2.0	
wyona	2.0	
verarsche	2.0	
aze	2.0	
glueget	2.0	
tumblr	2.0	
He	2.0	
post	2.0	
Super	2.0	
verstande	2.0	1.0
shad	2.0	
jooo	2.0	
antwort	2.0	
luna	2.0	
hihi	2.0	
luegä	2.0	1.0
Love	2.0	
honey	2.0	
Selber	2.0	
Mal	2.0	
ann-sofie	2.0	
Hüt	2.0	
pff	2.0	
entschuldige	2.0	
iwie	2.0	
redactedQ23tokens122characters	2.0	
chunnt	2.0	
klass	2.0	
ahahah	2.0	
bilder	2.0	
fick	2.0	
gahd	2.0	
denksch	2.0	
dänksch	2.0	
pennt	2.0	
11	2.0	
liegt	2.0	
chönd	2.0	
emojiQpurpleHeart	2.0	
nimms	2.0	
innä	2.0	
redactedQ9tokens47characters	2.0	
entschuldigt	2.0	
Weisch	2.0	1.0
Schöne	2.0	
heeii	2.0	
ichs	2.0	
hetter	2.0	
wers	2.0	
hoffä	2.0	
lerne	2.0	
chrisle	2.0	
würdi	2.0	
Okii	2.0	
Sinn	2.0	
shlimm	2.0	
redactedQ9tokens41characters	2.0	
do	2.0	
gang	2.0	
redactedQ5tokens32characters	2.0	
dokument	2.0	
redactedQ1tokens9characters	2.0	
Luegsh	2.0	
chöne	2.0	
moustache	2.0	
vermuete	2.0	
shribe	2.0	
würde	2.0	
Nö	2.0	
vertrauen	2.0	
Mögest	2.0	
Inneren	2.0	
deinem	2.0	
same	2.0	
aneschriebe	2.0	
übrigens	2.0	
ende	2.0	
usgang	2.0	1.0
versproche	2.0	
s'	2.0	
shuel	2.0	1.0
g	2.0	
helfti	2.0	
wünschi	2.0	
fühl	2.0	
öpper	2.0	
all	2.0	
Chind	2.0	
:((	2.0	
epis	2.0	
tshirt	2.0	
schriebe	2.0	
redactedQ1tokens15characters	2.0	
meischtens	2.0	
amel	2.0	
parentes	2.0	
sicherstelle	2.0	
erinnerig	2.0	
:S	2.0	
grosse	2.0	
Macht	2.0	
Katja	2.0	
gloube	2.0	
emojiQcocktailGlass	2.0	
würklech	2.0	
freue	2.0	
shön	2.0	
spannend	2.0	
Bish	2.0	
redactedQ8tokens59characters	2.0	
tine	2.0	
redactedQ4tokens28characters	2.0	
redactedQ17tokens96characters	2.0	
oki	2.0	
zuegeh	2.0	
Musch	2.0	
vermisse	2.0	
wödsch	2.0	
sones	2.0	1.0
diese	2.0	
hole	2.0	1.0
redactedQ12tokens54characters	2.0	
oma	2.0	
redactedQ6tokens25characters	2.0	
Egal	2.0	
Tru	2.0	
wa	2.0	
warte	2.0	1.0
redactedQ11tokens49characters	2.0	
ferie	2.0	
herze	2.0	
neue	2.0	
obig	2.0	
rude	2.0	
sowas	2.0	
afange	2.0	
redactedQ13tokens59characters	2.0	
beidne	2.0	
Tönt	2.0	
buebe	2.0	
Vo	2.0	
Chash	2.0	
Angscht	2.0	
grossliinwand	1.0	
kenn	1.0	
emojiQfullMoonWithFace	1.0	
moony	1.0	
27	1.0	
Seisch	1.0	
anstrengend	1.0	
schwiz	1.0	
marvins	1.0	
amne	1.0	
Lupus	1.0	
Mein	1.0	
Option	1.0	
leer	1.0	
tagen	1.0	
hammer	1.0	
mönet	1.0	
emojiQnewMoonWithFace	1.0	
redactedQ13tokens66characters	1.0	
Dafuq	1.0	
joeana	1.0	
maschine	1.0	
warteder	1.0	
Diagnose	1.0	
hoffed	1.0	
neui	1.0	
meeeeeega	1.0	
jezz	1.0	
verleid	1.0	
chönnd	1.0	
dünni	1.0	
exit	1.0	
frei	1.0	
stärbe	1.0	
geschäft	1.0	
ersticke	1.0	
wahnsinnig	1.0	
jacke	1.0	
sagst	1.0	
logisch	1.0	
müehsam	1.0	
ers	1.0	
weissi	1.0	
hi	1.0	
Endlich	1.0	
chönnted	1.0	
ooooh	1.0	
schlafen	1.0	
redactedQ17tokens87characters	1.0	
Stoht	1.0	
letschmal	1.0	
gschaft	1.0	
Aktion	1.0	
hanis	1.0	
fit	1.0	
rudys	1.0	
totsch	1.0	
Girl	1.0	
stellst	1.0	
bitz	1.0	
schutz	1.0	
soll	1.0	
Hunden	1.0	
brunnenweg	1.0	
nando	1.0	
gno	1.0	
würsh	1.0	
Wahrscheinlich	1.0	
wirtshaft	1.0	
meinsh	1.0	
ankommen	1.0	
flugi	1.0	
blick	1.0	
programiert	1.0	
poste	1.0	
Schisst	1.0	
büecher	1.0	
seid	1.0	
Bitte	1.0	
Wunsch	1.0	
Wer	1.0	
emojiQsmilingFaceWithHalo	1.0	
alte	1.0	
erlaubed	1.0	
guerilla	1.0	
fäscht	1.0	
shrib	1.0	
Oooooh	1.0	
teletubby	1.0	
gsesh	1.0	
phauptet	1.0	
einigermasse	1.0	
demente	1.0	
schlaafsch	1.0	
Start	1.0	
Person	1.0	
gardene	1.0	
riese	1.0	
Weckst	1.0	
Passish	1.0	
Ohoh	1.0	
Blöd	1.0	
kali	1.0	
jedi	1.0	
erwartige	1.0	
understützig	1.0	
eig	1.0	
möchte	1.0	
swaggy	1.0	
drücke	1.0	
zumtung	1.0	
spinnsch	1.0	
teppich	1.0	
TOTAL	1.0	
drehe	1.0	
Mamikuss	1.0	
reserve	1.0	
einem	1.0	
erinner	1.0	
schuelzüg	1.0	
sehen	1.0	
Weise	1.0	
anderen	1.0	
http://www.20min.ch/digital/dossier/clips/story/NNNNNNNN	1.0	
Beinen	1.0	
zwei	1.0	
Speedhund	1.0	
Auf	1.0	
Ein	1.0	
umgestellt	1.0	
morgens	1.0	
aufstehen	1.0	
Säg	1.0	1.0
aufgefallen	1.0	
grade	1.0	
früehner	1.0	
shlaf	1.0	
Herzen	1.0	
Foto	1.0	
rotte	1.0	
Aw	1.0	
fangt	1.0	
machst	1.0	
emojiQprincess	1.0	
garned	1.0	
redactedQ13tokens74characters	1.0	
Weles	1.0	
vordem	1.0	
stunde	1.0	
twin	1.0	
Nachdem	1.0	
bushaltestell	1.0	
ghalte	1.0	
binere	1.0	
Feigling	1.0	
Tschuldigung	1.0	
losisch	1.0	
Wat	1.0	
Okay	1.0	
emojiQhouseBuilding	1.0	
redactedQ7tokens31characters	1.0	
izzie	1.0	
mitte	1.0	
füre	1.0	
betrüge	1.0	
flaggene	1.0	
ahluege	1.0	
redactedQ13tokens53characters	1.0	
schribsch	1.0	
gruppechat	1.0	
schätzes	1.0	
Angst	1.0	
keine	1.0	
fraget	1.0	
sorgen	1.0	
Right	1.0	
redactedQ9tokens42characters	1.0	
sonthaya	1.0	
Zuerst	1.0	
einmal	1.0	
involviert	1.0	
internet	1.0	
gschwüschterti	1.0	
wuchenend	1.0	
game	1.0	
gesperrt	1.0	
wiso	1.0	
beachtig	1.0	
konnte	1.0	
Transparent	1.0	
einen	1.0	
redactedQ7tokens24characters	1.0	
button	1.0	
sowiet	1.0	
ones	1.0	
klicken	1.0	
söttish	1.0	
brutal	1.0	
ufezieh	1.0	
duume	1.0	
Praxis	1.0	
Wixxer	1.0	
versteckt	1.0	
Chönntisch	1.0	
gsehds	1.0	
gänderet	1.0	
negativen	1.0	
here	1.0	
Gefühlen	1.0	
uftrag	1.0	
schulde	1.0	
adios	1.0	
Note	1.0	
emojiQpigFace	1.0	
emojiQpigNose	1.0	
werend	1.0	
shlafe	1.0	
beginne	1.0	
19.30	1.0	
bros	1.0	
mitteile	1.0	
Muus	1.0	
ii	1.0	
Guten	1.0	
14.00	1.0	
rückeds	1.0	
Schaust	1.0	
Zivilisation	1.0	
sooooo	1.0	
Versuche	1.0	
geburi	1.0	
schafst	1.0	
doki	1.0	
Nachricht	1.0	
gschneit	1.0	
umgahsch	1.0	
Gaeht	1.0	
gläse	1.0	
legendäre	1.0	
gsuech	1.0	
uffahrtslauf	1.0	
schrie	1.0	
mitmache	1.0	
biere	1.0	
guantanamo	1.0	
grenos	1.0	
septämber	1.0	
fail	1.0	
inf	1.0	
émili	1.0	
TAKE	1.0	
émile	1.0	
Nr	1.0	
UO	1.0	
Überle	1.0	
Gratuliere	1.0	
1.	1.0	
Damit	1.0	
chnü	1.0	
IS	1.0	
Müesse	1.0	
füür	1.0	
august	1.0	
klassiker	1.0	
online	1.0	
europapark	1.0	
emojiQexpressionlessFace	1.0	
Froschperspektive	1.0	
zyt	1.0	
lehrerzimmer	1.0	
understütze	1.0	
Dr	1.0	
zeme	1.0	
gmäldet	1.0	
kadi	1.0	
Richte	1.0	
rot	1.0	
auch	1.0	
homosexuell	1.0	
ähnlich	1.0	
beahtreit	1.0	
mädchen	1.0	
schnee	1.0	
gahnt	1.0	
uflösig	1.0	
flappy	1.0	
mag	1.0	
ahgschisse	1.0	
Biere-style	1.0	
red	1.0	
vornimmsch	1.0	
party	1.0	
hard	1.0	
emojiQbeerMug	1.0	
drufhockt	1.0	
emojiQconfettiBall	1.0	
rucke	1.0	
schadet	1.0	
Fipsi	1.0	
befor	1.0	
üebt	1.0	
nenet	1.0	
molly	1.0	
sötts	1.0	
HINT	1.0	
tut	1.0	
eusere	1.0	
legs	1.0	
kompanie	1.0	
johreshoroskop	1.0	
neutral	1.0	
österriechische	1.0	
emne	1.0	
underste	1.0	
jkk	1.0	
risig	1.0	
gugge	1.0	
qualität	1.0	
selfie	1.0	
major	1.0	
face	1.0	
mitenand	1.0	
betonig	1.0	
neu	1.0	
shik	1.0	
neutrali	1.0	
chäller	1.0	
gwüdst	1.0	
gnoh	1.0	
Juststalkerthings	1.0	
ufs	1.0	
gish	1.0	
zueh	1.0	
verzweiflet	1.0	
geschwafel	1.0	
Letshmal	1.0	
himym	1.0	
ahja	1.0	
hinder	1.0	
eigach	1.0	
m	1.0	
wiehnacht	1.0	
erhöht	1.0	
däm	1.0	
ageh	1.0	2.0
pardey	1.0	
schätzeli	1.0	
emojiQkissingFaceWithClosedEyes	1.0	
Unvergesslichi	1.0	
bueb	1.0	
yasmin	1.0	
seget	1.0	
Zwüsche	1.0	
gavalda	1.0	
erguss	1.0	
wegbringe	1.0	
Lmao	1.0	
Muskelufbau	1.0	
seish	1.0	
taggs	1.0	
Desgosteng	1.0	
Findsch	1.0	
richtwert	1.0	2.0
übernoh	1.0	
Hend	1.0	2.0
öppus	1.0	
gemeinshaft	1.0	
Truuuu	1.0	
mfk	1.0	
brief	1.0	
Jooo	1.0	
stop	1.0	
gone	1.0	
tri	1.0	
dadurch	1.0	
keini	1.0	
dogge	1.0	
Find	1.0	
Miete	1.0	
träffeder	1.0	
Glaub	1.0	
love	1.0	
kk	1.0	
chleider	1.0	
biispiil	1.0	
Cuul	1.0	
holls	1.0	
loreal	1.0	
inen	1.0	
Lachen	1.0	
noiz	1.0	
gülsha	1.0	
plastick	1.0	
drufstaj	1.0	
with	1.0	
dexkt	1.0	
gspilt	1.0	
Kei	1.0	
Hehe	1.0	
Neii	1.0	
ticketkontrolle	1.0	
xeene	1.0	
Rude	1.0	
jemols	1.0	
chrieg	1.0	
szene	1.0	
Denkes	1.0	
gfrögt	1.0	
frögsh	1.0	
the	1.0	
patrizia	1.0	
Tus	1.0	
sack	1.0	
tueh	1.0	
helfe	1.0	
Wär	1.0	
emojiQfaceWithMedicalMask	1.0	
doofchopf	1.0	
zwölfi	1.0	
pünktlich	1.0	
schlussendli	1.0	
macheder	1.0	
shribemer	1.0	
chicle	1.0	
weak	1.0	
16:40	1.0	
staaht	1.0	
tür	1.0	
xee	1.0	
too	1.0	
usbroche	1.0	
politiker	1.0	
grippe	1.0	
vip-bereich	1.0	
zakkkkiaaa	1.0	
Deswegen	1.0	
gfroit	1.0	
spass	1.0	
ach	1.0	
brachte	1.0	
pot	1.0	
jez	1.0	
taggt	1.0	
references	1.0	
fragezeiche	1.0	
bisi-wätter	1.0	
reaktion	1.0	
costa	1.0	
rooster	1.0	
luegemers	1.0	
wetter	1.0	
niemert	1.0	
eleanor	1.0	
Ahja	1.0	
tabloid	1.0	
Wart	1.0	
Jean-pierre	1.0	
kannst	1.0	
langi	1.0	
vol	1.0	
input	1.0	
bewegen	1.0	
dazu	1.0	
jean-pierre	1.0	
shaff	1.0	
findets	1.0	
shatz	1.0	
Anschinend	1.0	
berndi	1.0	
under	1.0	
test	1.0	
Oui	1.0	
igfalle	1.0	
endi	1.0	
horrorfilms	1.0	
emojiQsleepingFace	1.0	
Tinetta	1.0	
Schreib	1.0	
badge	1.0	
abdullah	1.0	
reihefolg	1.0	
Omg	1.0	
charte	1.0	
schawi	1.0	
cuul	1.0	
Same	1.0	
unblockt	1.0	
regnets	1.0	
ehrlichxeit	1.0	
drah	1.0	
Nahh	1.0	
schuel	1.0	
throughpencil	1.0	
verletze	1.0	
vodka	1.0	
Rothaarig	1.0	
hoffnungslosgescheiterT	1.0	
negro	1.0	
miich	1.0	
Erinner	1.0	
Chas	1.0	
Würschmer	1.0	
usrite	1.0	
verstahn	1.0	
täg	1.0	
mitere	1.0	
schreiben	1.0	
anzlüte	1.0	
grossmuetter	1.0	
trurig	1.0	
mengsmal	1.0	
evtl.	1.0	
euses	1.0	
damit	1.0	
Sara	1.0	
chrafttraining	1.0	
märk	1.0	
merksh	1.0	
vorsteue	1.0	
debii	1.0	
Kopien	1.0	
För	1.0	
12.50	1.0	
zahlsh	1.0	
ond	1.0	
einish	1.0	
Chegget	1.0	
send	1.0	
Jaahhah	1.0	
vieregg	1.0	
Shipi	1.0	
meinst	1.0	
Menschen	1.0	
Sende	1.0	
pudeli	1.0	
widerfahren	1.0	
soviel	1.0	
Dir	1.0	
Sollte	1.0	
GLÜCK	1.0	
VIEL	1.0	
gfreut	1.0	
Iz	1.0	
schreck	1.0	
voller	1.0	
vori	1.0	
Stimmt	1.0	
MINUTE	1.0	
UPDATE	1.0	
CHÖNNT	1.0	
USRASCHTE	1.0	
einiges	1.0	
Ihr	1.0	
Chunnt	1.0	
dani	1.0	
stevi	1.0	
obet	1.0	
redactedQ12tokens50characters	1.0	
plan	1.0	
meinet	1.0	
sterne	1.0	
adchluss	1.0	
historischi	1.0	
entwarnig	1.0	
Chlini	1.0	
Yep	1.0	
Ojeee	1.0	
CHAN	1.0	
bern	1.0	
Krass	1.0	
hb	1.0	
esh	1.0	
familie	1.0	
SPANIE	1.0	
Pc	1.0	
hahahahahhahahah	1.0	
Guete	1.0	
bestätigen	1.0	
äue	1.0	2.0
Paradies	1.0	
freunde	1.0	
15	1.0	
mônet	1.0	
verdammte	1.0	
sag	1.0	
vermiss	1.0	
sichrt	1.0	
schaffst	1.0	
..........	1.0	
bedeute	1.0	
einzigartig	1.0	
Beste	1.0	
brauchen	1.0	
starten	1.0	
Minuten	1.0	
redactedQ7tokens39characters	1.0	
Trzdem	1.0	
Klass	1.0	
lönd	1.0	
höre	1.0	
sunscht	1.0	
melde	1.0	
Shienz	1.0	
redactedQ11tokens59characters	1.0	
icj	1.0	
drûber	1.0	
anrufen	1.0	
stresse	1.0	
Gott	1.0	
Supi	1.0	
klärchen	1.0	
thalassämie	1.0	
padi	1.0	
trägerin	1.0	
schü	1.0	
güte	1.0	
ruckeusschnit	1.0	
meeega	1.0	
waruna	1.0	
rolle	1.0	
zunge	1.0	
No	1.0	
chu	1.0	
hochset	1.0	
ads	1.0	
Lernööö	1.0	
neva	1.0	
Ubedingt	1.0	
Sonä	1.0	
spührd	1.0	
stört	1.0	
Prinzipiell	1.0	
uh	1.0	
danken	1.0	
veränderet	1.0	
achti	1.0	
sibni	1.0	
redt	1.0	
Bad	1.0	
ids	1.0	
chly	1.0	
Theme	1.0	
gsy	1.0	
geschter	1.0	
Lüt	1.0	
gedicht	1.0	
geschenke	1.0	
deine	1.0	
entschide	1.0	
Novämber	1.0	
Im	1.0	
fötele	1.0	
Eltere	1.0	
Weli	1.0	
steit	1.0	
Awalt	1.0	
gröschte	1.0	
fahre	1.0	
Outo	1.0	
G	1.0	
des	1.0	
hob	1.0	
vergwüssere	1.0	
TV	1.0	
gäg	1.0	
Lüftig	1.0	
aube	1.0	
bewusst	1.0	
desto	1.0	
umechätsche	1.0	
drann	1.0	
D'	1.0	
Ehrewort	1.0	
Grosses	1.0	
zuelahsch	1.0	
verändere	1.0	
Realität	1.0	
schöne	1.0	
Häb	1.0	
rar	1.0	
syge	1.0	
Edelsteine	1.0	
Situation	1.0	
mire	1.0	
bezüglich	1.0	
issi	1.0	
Zersch	1.0	
redactedQ26tokens119characters	1.0	
ise	1.0	
Vertroue	1.0	
nachetänkt	1.0	
Facebook-Account	1.0	
ufgä	1.0	
vilne	1.0	
redactedQ16tokens67characters	1.0	
ansage	1.0	
nimi	1.0	
ergänzt	1.0	
zelt	1.0	
mitemne	1.0	
7.	1.0	
abem	1.0	
hexagon	1.0	
anehenke	1.0	
zeddel	1.0	
usse	1.0	
redactedQ2tokens21characters	1.0	
emojiQsquaredOk	1.0	
li	1.0	
emojiQflexedBiceps	1.0	
Neeeeeeeeeeeeeeeeeeeeeeeeeeeeeeein	1.0	
Toll	1.0	
keeesed	1.0	
»	1.0	
Absturz	1.0	
«	1.0	
Arzt	1.0	
Izzy	1.0	
Strange	1.0	
redactedQ14tokens62characters	1.0	
denkes	1.0	
20.15	1.0	
maybe	1.0	
klagt	1.0	
Hahahha	1.0	
Umschtänd	1.0	
singt	1.0	
yschtelle	1.0	
WLAN	1.0	
Me	1.0	
Anna	1.0	
vorgschlage	1.0	
fyre	1.0	
Italiäner	1.0	
verhengt	1.0	
sduet	1.0	
Arbeiten	1.0	
emojiQcoupleWithHeart	1.0	
emojiQmanAndWomanHoldingHands	1.0	
triffst	1.0	
Leute	1.0	
coolsten	1.0	
zeiten	1.0	
emojiQcancer	1.0	
noni	1.0	
emojiQangryFace	1.0	
franz	1.0	
hasse	1.0	
emojiQconfusedFace	1.0	
durenand	1.0	
Jia	1.0	
sterbe	1.0	
züg	1.0	
müesst	1.0	
lecker	1.0	
alütä	1.0	
evtl	1.0	
ouh	1.0	
häää	1.0	
bibis	1.0	
+	1.0	
wieli	1.0	
äs	1.0	
verdammt	1.0	
reis	1.0	
alk	1.0	
knallt	1.0	
tanzed	1.0	
säb	1.0	
nohrennä	1.0	
hihii	1.0	
klönet	1.0	
hihihi	1.0	
emojiQfaceWithLookOfTriumph	1.0	
kum	1.0	
zuegnoh	1.0	
stressä	1.0	
37er	1.0	
verein	1.0	
fehler	1.0	
öppä	1.0	
ufruef	1.0	
wüssä	1.0	
gscheh	1.0	
versifft	1.0	
neeee	1.0	
verzellä	1.0	
schaffä	1.0	
dömä	1.0	
kino	1.0	
setzä	1.0	
ufä	1.0	
adrenalinspiegel	1.0	
abkläre	1.0	
wuchä	1.0	
schlo	1.0	
funktionierä	1.0	
mue	1.0	
deponiert	1.0	
frederic	1.0	
aregigä	1.0	
dür	1.0	
adenkt	1.0	
zukinft	1.0	
lösigä	1.0	
